year,location,percent_obese
2018,Guam,22.7
2018,Georgia,32.7
2018,Oregon,30.8
2018,Nebraska,34.5
2018,California,27.6
2018,Iowa,45.7
2018,Missouri,36.4
2018,West Virginia,41.8
2018,Idaho,31.8
2018,Oklahoma,38.3
2018,Alabama,37.7
2018,Idaho,29.7
2018,Minnesota,30.0
2018,West Virginia,37.8
2018,District of Columbia,25.2
2018,Florida,28.0
2018,Maryland,31.7
2018,Alaska,30.7
2018,Oklahoma,43.4
2018,New Mexico,31.2
2018,North Carolina,35.1
2018,Maryland,35.6
2018,Florida,27.5
2018,North Dakota,38.2
2014,Guam,28.6
2018,Oregon,14.9
2018,South Dakota,35.8
2018,Arizona,29.6
2018,Idaho,26.5
2018,District of Columbia,15.6
2018,Louisiana,37.3
2018,Texas,38.1
2018,Missouri,35.7
2018,Wisconsin,35.2
2018,Massachusetts,30.2
2015,Delaware,40.6
2018,Ohio,38.8
2018,Colorado,28.4
2018,Montana,25.9
2018,Hawaii,29.4
2018,Alabama,38.6
2018,Utah,26.8
2018,Illinois,28.9
2018,Tennessee,38.4
2018,Kansas,38.1
2018,Delaware,32.4
2018,Wisconsin,34.4
2018,Kentucky,41.3
2018,New Hampshire,24.7
2018,Michigan,28.0
2018,Connecticut,33.5
2018,Florida,14.5
2018,District of Columbia,32.3
2018,North Dakota,44.8
2016,Arizona,30.2
2016,New Mexico,37.5
2016,Arizona,28.3
2016,Washington,32.4
2016,Pennsylvania,38.5
2016,Ohio,30.9
2016,West Virginia,43.9
2016,Missouri,33.4
2018,Guam,29.8
2018,Nebraska,39.5
2018,Maine,27.2
2018,Florida,37.2
2018,Kansas,39.8
2018,Maine,30.2
2018,Pennsylvania,28.3
2018,Mississippi,44.0
2018,New York,32.4
2018,New Jersey,25.8
2018,Indiana,33.6
2018,Guam,23.5
2018,Colorado,29.2
2018,Virginia,29.4
2018,Oklahoma,33.2
2018,Oklahoma,34.8
2018,Delaware,34.8
2018,New Mexico,25.7
2018,Oregon,38.4
2018,Minnesota,32.7
2018,Connecticut,34.0
2018,Illinois,36.3
2018,South Carolina,39.2
2018,New Hampshire,29.9
2018,Alaska,29.8
2018,North Dakota,35.7
2018,Pennsylvania,16.1
2018,Montana,25.8
2015,Puerto Rico,24.3
2018,Vermont,32.3
2018,Pennsylvania,18.6
2018,Nevada,27.6
2018,Nevada,27.9
2018,Wyoming,34.2
2018,Louisiana,27.9
2018,Massachusetts,26.9
2018,Puerto Rico,35.3
2018,Tennessee,39.2
2018,Washington,34.9
2018,Montana,26.5
2018,New Hampshire,33.9
2018,Colorado,23.7
2018,Arkansas,30.6
2018,Idaho,32.9
2018,Wisconsin,28.4
2018,California,27.2
2018,New York,25.2
2018,Puerto Rico,36.4
2018,Arkansas,45.7
2018,Virginia,30.2
2018,Hawaii,45.2
2018,Connecticut,30.4
2018,Ohio,36.1
2013,Puerto Rico,29.1
2018,Alabama,31.8
2018,Pennsylvania,41.9
2018,Massachusetts,24.5
2018,West Virginia,36.6
2018,District of Columbia,30.1
2018,Indiana,35.5
2018,South Dakota,36.5
2018,Kentucky,42.4
2018,Florida,30.7
2018,Montana,27.3
2018,Vermont,31.8
2018,Louisiana,29.3
2018,Alaska,25.1
2018,Maryland,36.9
2018,Indiana,34.6
2018,Alabama,43.9
2018,Kansas,28.9
2018,Texas,38.6
2018,Virginia,34.1
2018,Hawaii,30.3
2018,Connecticut,29.9
2018,Nebraska,32.4
2018,North Dakota,36.0
2014,Guam,29.4
2018,Oregon,29.9
2018,Minnesota,24.7
2018,Florida,25.9
2018,Wisconsin,31.0
2018,Nebraska,34.3
2018,Michigan,33.5
2018,Tennessee,35.3
2018,Washington,28.7
2018,Oregon,33.5
2018,Iowa,34.6
2018,North Carolina,37.8
2018,Nebraska,20.3
2018,Illinois,27.4
2018,Florida,34.1
2018,Georgia,36.5
2018,Virginia,15.9
2018,South Carolina,43.6
2018,Virginia,29.2
2018,Rhode Island,32.2
2016,Pennsylvania,30.3
2016,Texas,35.5
2016,California,25.0
2016,Alaska,32.8
2016,Texas,36.3
2018,Guam,27.6
2018,New Jersey,27.8
2018,California,27.6
2018,Texas,36.1
2018,Utah,40.6
2018,New York,27.6
2018,Illinois,31.2
2018,Delaware,30.0
2018,New Hampshire,34.9
2018,Maryland,36.6
2018,Minnesota,32.5
2018,Virginia,27.7
2018,Pennsylvania,34.7
2018,New Mexico,39.7
2018,Nebraska,33.8
2018,Michigan,38.9
2018,Washington,34.7
2018,Wyoming,24.4
2018,Arizona,33.9
2018,Washington,32.6
2018,Wyoming,31.7
2018,Guam,35.9
2018,Louisiana,31.8
2018,Kansas,41.2
2018,Washington,33.5
2018,California,22.9
2018,Utah,34.0
2018,Puerto Rico,30.6
2018,Nevada,25.2
2018,Tennessee,33.1
2018,Connecticut,26.4
2018,North Carolina,34.4
2018,Colorado,20.1
2018,Missouri,41.9
2018,Wisconsin,34.8
2015,Guam,28.8
2018,West Virginia,43.0
2018,South Carolina,41.8
2018,District of Columbia,28.0
2018,Washington,9.8
2018,Iowa,38.1
2018,Idaho,32.7
2018,Vermont,33.8
2018,New Mexico,41.6
2018,Arkansas,37.3
2018,Rhode Island,30.6
2018,New Jersey,26.1
2018,Wisconsin,36.9
2018,Minnesota,30.1
2018,Ohio,7.3
2018,Georgia,28.2
2018,Tennessee,33.3
2018,Michigan,34.0
2018,Wisconsin,38.7
2018,Delaware,33.5
2018,Utah,27.7
2018,Maryland,31.2
2014,Puerto Rico,31.5
2018,North Carolina,24.8
2018,Arizona,29.4
2018,Iowa,32.5
2018,Illinois,28.3
2018,Michigan,34.3
2018,New York,30.8
2018,Idaho,36.4
2018,Pennsylvania,32.5
2018,Iowa,40.7
2018,Ohio,33.8
2018,Maine,33.2
2018,New York,29.0
2018,Pennsylvania,32.3
2018,Florida,39.4
2018,Kentucky,34.3
2015,Guam,28.5
2018,New Jersey,31.7
2018,Delaware,18.4
2018,South Dakota,30.1
2018,Oregon,27.9
2018,Mississippi,32.3
2018,Rhode Island,27.1
2018,Nebraska,30.5
2018,Georgia,32.2
2018,New York,24.3
2018,Kansas,33.3
2018,Ohio,29.4
2018,Kansas,34.4
2018,South Dakota,28.2
2015,Puerto Rico,30.1
2018,North Dakota,37.3
2018,Arkansas,36.2
2018,Minnesota,32.6
2018,Hawaii,18.2
2018,Michigan,40.1
2018,Indiana,15.2
2018,Massachusetts,32.5
2018,Guam,13.0
2018,Montana,25.8
2018,Virginia,26.9
2018,Oklahoma,39.5
2018,Alaska,32.7
2018,Utah,31.7
2018,Massachusetts,28.1
2018,North Dakota,34.9
2018,Florida,36.1
2018,Mississippi,41.1
2018,New Mexico,38.0
2018,Colorado,25.7
2018,North Dakota,34.4
2018,District of Columbia,17.5
2018,California,32.0
2018,Puerto Rico,37.9
2018,Nevada,37.6
2018,Kentucky,21.4
2018,Washington,21.2
2018,Kansas,16.4
2018,Texas,33.1
2018,Louisiana,39.7
2018,Arkansas,42.0
2018,New Hampshire,25.4
2018,South Carolina,29.0
2018,Indiana,40.6
2018,Hawaii,24.0
2018,Arizona,28.7
2018,Oklahoma,33.0
2018,Guam,30.8
2018,Iowa,36.0
2018,Ohio,34.8
2018,Georgia,35.0
2018,Idaho,10.7
2018,New Hampshire,28.3
2018,Alaska,29.2
2018,Vermont,27.5
2018,Kentucky,30.0
2018,California,29.3
2018,Idaho,32.1
2018,Indiana,39.4
2018,South Carolina,39.1
2018,Illinois,32.9
2018,South Dakota,32.7
2018,Vermont,35.5
2018,Louisiana,34.1
2018,Delaware,30.2
2018,Delaware,39.7
2018,West Virginia,22.3
2018,Kentucky,37.7
2018,Michigan,35.5
2018,New York,30.9
2018,Arizona,35.4
2018,Colorado,32.2
2018,Nebraska,30.3
2018,Iowa,37.4
2018,Maine,26.5
2018,Arkansas,34.9
2018,New York,24.0
2018,Mississippi,37.9
2018,Arizona,29.5
2018,North Dakota,40.7
2018,Utah,27.1
2018,Ohio,38.9
2018,Kansas,38.3
2018,Rhode Island,30.6
2018,Hawaii,26.1
2018,Missouri,40.1
2018,Massachusetts,25.7
2018,Minnesota,35.7
2018,Colorado,29.8
2018,Wyoming,26.4
2018,Michigan,37.9
2018,North Carolina,44.8
2018,New York,31.2
2018,Louisiana,38.8
2018,Nevada,10.2
2018,Washington,35.9
2018,Washington,28.0
2018,Wisconsin,24.3
2018,Tennessee,38.1
2018,Louisiana,33.0
2018,Minnesota,31.8
2018,Vermont,37.7
2018,Oklahoma,36.2
2018,Puerto Rico,37.0
2018,New York,33.1
2018,Oregon,43.3
2018,California,26.3
2018,Kentucky,36.6
2018,California,40.1
2018,South Carolina,32.1
2018,Guam,36.2
2018,Alaska,28.1
2018,Wisconsin,40.3
2018,Alaska,30.7
2018,Guam,20.6
2018,Texas,32.7
2018,Montana,31.7
2018,Montana,28.9
2018,Colorado,26.8
2018,Rhode Island,35.5
2018,Maryland,28.8
2018,Arkansas,37.7
2018,Iowa,36.8
2018,Massachusetts,29.7
2018,North Carolina,36.6
2018,District of Columbia,21.7
2018,New Hampshire,28.1
2018,Illinois,29.8
2018,North Dakota,41.0
2018,Connecticut,26.1
2018,Connecticut,31.5
2018,New Mexico,25.8
2018,Delaware,37.4
2018,Connecticut,28.6
2018,Arizona,33.0
2018,New Mexico,36.2
2018,Utah,29.1
2018,Arkansas,34.1
2018,Texas,40.2
2017,West Virginia,38.5
2018,New York,27.0
2018,Connecticut,31.2
2018,Maine,31.5
2018,Pennsylvania,40.3
2018,South Carolina,32.3
2018,Montana,26.4
2018,Ohio,36.7
2018,Hawaii,23.0
2018,Pennsylvania,30.9
2018,Arkansas,50.5
2015,Puerto Rico,31.6
2018,Delaware,41.0
2018,Delaware,34.2
2018,Alaska,24.0
2018,Indiana,37.1
2018,Illinois,31.8
2018,Minnesota,50.2
2018,Florida,30.2
2018,Kansas,33.8
2018,Kentucky,42.1
2018,Washington,26.9
2018,Michigan,32.4
2018,Nevada,31.5
2018,Louisiana,45.8
2018,New Hampshire,19.4
2018,Vermont,26.7
2018,South Carolina,36.9
2018,Kansas,40.7
2018,Alaska,34.7
2015,Puerto Rico,32.6
2018,West Virginia,38.5
2018,Iowa,39.8
2018,West Virginia,40.0
2018,New Jersey,25.8
2018,Mississippi,44.2
2018,Oregon,29.2
2018,Minnesota,27.5
2018,Wyoming,12.0
2018,Maryland,12.8
2018,Maryland,35.1
2018,Oklahoma,34.1
2018,New Jersey,29.2
2018,Hawaii,20.6
2018,Missouri,33.1
2018,Louisiana,38.2
2018,Idaho,28.9
2018,North Dakota,36.1
2018,Ohio,38.2
2018,Minnesota,24.3
2018,Oregon,29.6
2018,Alabama,34.6
2018,Illinois,32.5
2018,Michigan,31.4
2018,Missouri,39.2
2018,New Hampshire,21.7
2018,Missouri,37.9
2018,Louisiana,39.8
2015,Puerto Rico,38.5
2018,Montana,41.4
2018,Colorado,21.7
2018,Hawaii,17.4
2018,Alabama,32.1
2018,Puerto Rico,33.6
2018,Nevada,29.2
2018,Tennessee,41.9
2018,Oregon,31.7
2018,Guam,30.5
2018,Georgia,19.8
2018,California,18.1
2018,North Dakota,37.0
2018,Wisconsin,33.1
2014,Guam,24.9
2018,Puerto Rico,32.6
2014,Puerto Rico,26.8
2018,Wyoming,29.0
2018,South Dakota,26.6
2018,Michigan,26.7
2014,Puerto Rico,33.5
2016,Virginia,29.5
2016,New Mexico,22.4
2016,Florida,29.7
2016,Wisconsin,25.1
2016,Colorado,20.6
2016,New York,29.8
2018,Iowa,40.6
2018,New Mexico,37.8
2018,Georgia,29.6
2018,South Dakota,26.4
2018,Maine,30.2
2018,Oklahoma,29.3
2018,Alabama,35.1
2018,Minnesota,32.2
2018,Montana,26.9
2018,Maryland,25.7
2018,North Carolina,35.3
2018,New Jersey,25.5
2018,California,34.5
2018,Oregon,24.5
2018,Idaho,29.0
2018,Arkansas,35.7
2018,South Dakota,27.0
2018,District of Columbia,24.7
2018,Arizona,24.0
2018,Ohio,34.0
2017,Wisconsin,30.8
2018,Texas,22.7
2018,Vermont,27.7
2018,Vermont,31.6
2018,New Mexico,36.4
2018,Alaska,34.2
2018,New Mexico,33.8
2018,Delaware,32.6
2018,Puerto Rico,40.4
2018,Utah,29.5
2018,District of Columbia,16.4
2018,Alaska,27.2
2018,Texas,37.7
2018,New Jersey,21.8
2018,Arizona,32.7
2018,Nebraska,35.0
2018,Maine,32.6
2018,Hawaii,19.1
2018,Arkansas,40.3
2018,Tennessee,34.4
2018,Rhode Island,33.0
2018,Michigan,36.3
2018,Minnesota,33.4
2018,Washington,32.2
2018,Louisiana,29.6
2018,West Virginia,43.5
2018,Utah,15.3
2018,Idaho,28.3
2018,West Virginia,36.0
2018,South Carolina,19.5
2018,Puerto Rico,32.9
2018,Ohio,35.5
2018,Arkansas,41.2
2018,Maryland,36.9
2018,Michigan,32.6
2018,Maine,35.5
2018,Wisconsin,34.8
2018,Kansas,28.8
2018,Wyoming,30.2
2018,Rhode Island,10.9
2018,Delaware,33.6
2016,New Hampshire,31.1
2016,Wisconsin,48.9
2016,Maryland,39.2
2016,Texas,32.5
2018,Kentucky,45.4
2018,Puerto Rico,32.8
2018,New Jersey,34.2
2018,Colorado,29.4
2018,Michigan,36.0
2018,Louisiana,46.2
2018,Maryland,27.9
2018,Indiana,36.6
2018,Maryland,36.9
2018,Washington,33.2
2018,Alabama,30.8
2018,Kansas,37.4
2018,Missouri,35.1
2018,Delaware,33.5
2018,Florida,16.6
2018,Ohio,26.0
2018,Minnesota,28.0
2018,Mississippi,36.9
2018,Guam,29.0
2018,Tennessee,29.0
2018,Montana,34.2
2018,South Dakota,42.6
2018,Georgia,33.3
2018,California,30.6
2018,Kansas,37.3
2018,New Jersey,12.3
2018,Oregon,32.7
2018,South Dakota,29.2
2018,Virginia,30.4
2018,Maine,30.5
2018,Alabama,43.7
2018,Mississippi,38.5
2018,New Mexico,26.0
2018,Colorado,22.0
2018,Hawaii,25.9
2018,Pennsylvania,35.6
2018,Massachusetts,26.8
2018,District of Columbia,40.9
2018,Idaho,28.4
2018,Pennsylvania,34.9
2018,Tennessee,42.7
2018,Alabama,39.2
2018,Michigan,33.0
2018,Ohio,34.0
2018,New Jersey,20.1
2018,West Virginia,41.1
2018,Florida,34.2
2018,Oklahoma,40.8
2018,New Mexico,32.3
2018,Arizona,31.1
2018,Arkansas,36.5
2018,South Dakota,31.8
2018,California,34.4
2018,Virginia,30.7
2018,Rhode Island,22.5
2018,Alaska,26.7
2018,Illinois,42.5
2018,Mississippi,38.4
2018,Montana,25.4
2018,Pennsylvania,29.3
2016,Arizona,27.8
2016,Nevada,29.3
2016,Virginia,31.9
2016,Oklahoma,29.2
2016,Puerto Rico,18.3
2016,Hawaii,23.8
2016,Connecticut,29.8
2018,New Hampshire,30.7
2018,Rhode Island,28.5
2018,Nebraska,34.5
2018,Virginia,25.2
2016,Alabama,35.2
2016,Virgin Islands,32.6
2016,Indiana,34.0
2016,Rhode Island,28.8
2018,California,31.4
2018,Texas,10.1
2018,South Carolina,36.7
2018,Maine,20.5
2018,Oklahoma,37.4
2018,Connecticut,32.3
2018,South Dakota,31.1
2018,Arizona,48.6
2018,Arizona,33.2
2018,Wyoming,33.9
2018,Nebraska,8.3
2018,Delaware,37.7
2018,Louisiana,39.5
2015,Guam,9.9
2018,North Carolina,32.5
2018,District of Columbia,21.2
2018,Maine,19.9
2018,Wisconsin,35.8
2018,Arkansas,40.5
2012,Delaware,25.6
2018,North Dakota,38.1
2018,Indiana,38.0
2018,Hawaii,34.5
2018,Nebraska,32.1
2018,North Carolina,34.4
2018,Massachusetts,29.4
2018,Utah,29.5
2018,Montana,27.8
2018,Maryland,35.8
2018,Michigan,35.7
2014,Puerto Rico,35.2
2018,Alabama,37.2
2018,Pennsylvania,30.9
2018,Wyoming,26.4
2018,Washington,15.2
2018,Oregon,36.5
2018,Virginia,30.0
2018,Florida,33.2
2018,Nevada,31.3
2018,Colorado,22.5
2018,Louisiana,39.6
2018,New Hampshire,42.0
2018,Indiana,38.0
2018,Nebraska,34.1
2018,West Virginia,34.0
2018,Tennessee,30.1
2018,Wisconsin,36.1
2018,New York,30.5
2018,Colorado,6.4
2018,Washington,29.4
2018,Connecticut,10.9
2018,Minnesota,37.8
2018,Georgia,31.6
2018,New Hampshire,31.1
2018,Nebraska,29.5
2018,Iowa,41.0
2018,Guam,34.1
2018,Missouri,39.7
2018,Virginia,36.6
2017,Nevada,27.1
2018,Alabama,19.3
2018,Connecticut,27.1
2018,Texas,36.1
2018,Massachusetts,29.5
2018,North Carolina,30.6
2018,Guam,36.0
2018,Virginia,22.5
2018,Georgia,30.2
2018,Wisconsin,33.8
2018,District of Columbia,9.5
2018,North Dakota,30.4
2018,Pennsylvania,32.1
2018,Florida,24.4
2018,North Carolina,38.2
2018,Georgia,43.2
2018,Arkansas,39.4
2018,Minnesota,31.9
2018,Kansas,39.5
2018,Vermont,21.9
2018,Texas,39.6
2018,Louisiana,36.8
2018,Delaware,51.2
2018,Mississippi,39.7
2018,Maine,29.0
2018,California,33.3
2018,New Jersey,31.8
2018,Indiana,39.3
2018,Texas,30.6
2018,Guam,30.3
2018,Oklahoma,32.8
2018,Colorado,23.6
2018,Montana,28.5
2018,Colorado,21.8
2018,Iowa,41.4
2018,Louisiana,29.7
2018,Rhode Island,27.1
2018,Utah,30.3
2018,Illinois,32.8
2018,North Dakota,35.1
2018,Minnesota,33.4
2018,New Hampshire,29.6
2018,Mississippi,35.9
2018,New Mexico,34.3
2018,Connecticut,29.8
2018,Colorado,30.4
2018,Connecticut,22.9
2018,Oregon,25.6
2018,North Dakota,41.7
2018,Wyoming,34.0
2018,New Hampshire,38.1
2018,Illinois,36.7
2018,Vermont,28.0
2018,Louisiana,41.5
2018,Washington,29.9
2018,Hawaii,28.0
2018,Nevada,29.6
2018,Guam,41.0
2018,Louisiana,40.6
2018,California,26.0
2018,California,30.1
2018,Tennessee,39.3
2018,Puerto Rico,37.3
2018,Missouri,37.6
2018,Guam,33.5
2018,Mississippi,45.7
2018,Alabama,38.4
2018,Minnesota,35.2
2018,South Carolina,36.2
2018,Oklahoma,34.6
2018,Minnesota,32.4
2018,Missouri,35.0
2018,Maryland,33.1
2018,Oregon,30.5
2018,Maryland,18.1
2018,Oklahoma,2.6
2018,District of Columbia,32.9
2018,Pennsylvania,27.5
2018,Rhode Island,32.0
2018,South Dakota,47.5
2018,Maryland,25.6
2018,South Dakota,12.6
2018,West Virginia,45.6
2018,District of Columbia,12.3
2018,Louisiana,40.4
2018,Alabama,33.5
2018,Idaho,27.8
2018,Missouri,34.3
2018,Indiana,34.2
2018,Michigan,34.6
2018,Ohio,39.2
2018,Montana,31.2
2018,Maine,29.2
2018,Kentucky,37.8
2018,Hawaii,27.9
2018,Texas,32.4
2018,Delaware,38.3
2018,Rhode Island,27.7
2018,Delaware,37.9
2020,Idaho,27.3
2018,Kentucky,36.6
2018,Florida,30.3
2018,Tennessee,25.2
2018,Michigan,40.3
2018,Wisconsin,25.2
2018,Arizona,26.1
2018,Iowa,25.4
2018,Massachusetts,13.0
2018,Wisconsin,32.0
2018,Florida,31.0
2018,Vermont,23.0
2018,South Dakota,29.2
2018,North Carolina,32.1
2018,Maine,35.4
2018,Guam,31.7
2018,Colorado,21.8
2018,Virginia,13.4
2018,Montana,29.2
2018,California,24.8
2018,Mississippi,32.8
2018,Kansas,36.0
2018,Utah,25.5
2018,New Mexico,29.2
2018,Connecticut,36.5
2018,Massachusetts,25.9
2018,Iowa,29.2
2018,Hawaii,23.2
2018,Connecticut,30.5
2018,Minnesota,19.0
2020,Arizona,36.5
2013,Puerto Rico,27.1
2018,Alabama,37.8
2018,Illinois,35.5
2018,Pennsylvania,36.3
2018,Michigan,32.3
2018,South Dakota,28.7
2018,Arkansas,30.1
2018,Rhode Island,26.5
2018,Indiana,33.1
2018,Alaska,21.2
2018,Utah,25.7
2018,Washington,29.4
2018,Indiana,34.1
2018,Georgia,38.7
2018,Puerto Rico,33.1
2018,Oregon,31.3
2018,Arizona,28.0
2018,Washington,31.2
2018,Illinois,30.1
2018,California,15.2
2018,South Carolina,31.3
2018,West Virginia,40.6
2018,Wisconsin,30.2
2018,Minnesota,32.8
2018,West Virginia,39.9
2018,Wisconsin,28.3
2018,Alaska,28.5
2018,Arkansas,37.1
2018,North Carolina,35.0
2014,Tennessee,26.6
2015,New York,29.7
2018,Wyoming,22.3
2011,Vermont,33.1
2014,Kansas,33.2
2018,Massachusetts,25.7
2018,Ohio,33.6
2014,Delaware,33.0
2013,New York,25.4
2013,Washington,33.3
2012,Hawaii,16.7
2011,Tennessee,32.5
2018,North Dakota,31.2
2018,Missouri,45.3
2018,Tennessee,45.8
2018,Kentucky,43.1
2018,New Jersey,24.3
2018,Wisconsin,46.8
2018,Texas,35.3
2018,Arizona,14.4
2018,Vermont,34.1
2018,Arkansas,26.2
2018,New York,30.3
2018,Delaware,35.8
2018,Utah,31.2
2018,Indiana,33.9
2018,New York,31.6
2018,Kentucky,36.8
2018,Nevada,29.7
2018,Alaska,29.3
2017,New York,25.7
2018,New Hampshire,22.3
2018,Kansas,32.4
2013,Puerto Rico,24.5
2018,Maine,38.6
2018,Mississippi,29.5
2018,Nebraska,35.1
2018,Hawaii,34.0
2018,Alabama,29.4
2018,New Jersey,26.6
2018,Massachusetts,24.9
2018,Oklahoma,38.9
2018,Arizona,31.0
2018,Virginia,33.6
2018,Massachusetts,29.0
2018,New Mexico,24.9
2017,Kentucky,35.9
2018,Colorado,24.2
2018,Florida,32.0
2018,Delaware,33.3
2018,Michigan,31.4
2018,District of Columbia,30.3
2018,Alaska,33.4
2018,Utah,29.2
2018,South Carolina,31.5
2018,Iowa,38.4
2018,Arizona,27.5
2018,Guam,34.2
2018,Texas,40.4
2018,Florida,31.1
2018,Ohio,33.3
2018,Nevada,32.8
2018,South Carolina,43.7
2018,Rhode Island,28.4
2018,Indiana,31.8
2018,Wyoming,26.6
2018,Georgia,26.2
2018,Oklahoma,35.4
2018,Nevada,43.6
2018,Iowa,35.7
2018,Vermont,25.5
2018,West Virginia,34.7
2018,South Carolina,26.6
2018,Idaho,29.5
2018,West Virginia,39.2
2018,Washington,34.6
2018,Wisconsin,35.2
2018,Pennsylvania,26.3
2018,Arkansas,39.6
2018,Hawaii,35.5
2018,North Carolina,30.8
2018,New Jersey,26.2
2018,Wyoming,26.2
2018,Kentucky,39.8
2018,Tennessee,33.9
2018,Georgia,40.6
2018,Wyoming,27.8
2018,Arkansas,44.0
2018,Connecticut,34.4
2014,Puerto Rico,33.8
2018,Arizona,38.4
2018,Massachusetts,27.0
2018,New York,33.7
2018,Ohio,32.2
2018,Alaska,35.4
2018,Texas,25.0
2018,Rhode Island,26.2
2018,New York,18.0
2018,New Jersey,12.0
2018,Oregon,37.7
2018,Connecticut,26.3
2018,Virginia,30.9
2018,Connecticut,23.9
2018,Vermont,32.0
2018,Rhode Island,33.1
2018,Kentucky,37.0
2018,Nebraska,37.5
2018,New York,27.4
2018,Tennessee,39.3
2018,Georgia,34.7
2018,Minnesota,30.0
2018,Georgia,33.3
2018,Delaware,33.8
2018,North Dakota,33.8
2018,Virginia,38.6
2018,Indiana,57.0
2018,New Hampshire,28.9
2018,Nebraska,35.7
2018,Guam,32.3
2018,Alabama,38.1
2018,Texas,20.8
